Name,Info,Travel Requirement,Entry/Exit Requirement,
Afghanistan,"*Travel in Afghanistan: Healthcare in Afghanistan is very limited. Medical facilities, including those in Kabul, do not have the capacity or capability to effectively deal with the COVID-19 outbreak. The supply of ICU beds and ventilators is low. There are areas which have no medical facilities with ICU beds and ventilators.<br>
There is no guarantee that any local health care will be available in the current security situation. Whilst an estimated 30 per cent of the population had been exposed to COVID-19 by June 2020, WHO warns that widespread complacency and failure to follow public health advice is creating grave risks in the community with people generally not observing physical distancing or mask-wearing protocols.
","Effective January 26, all airline passengers to the United States ages two years and older must provide a negative COVID-19 viral test taken within three calendar days of travel. Alternatively, travelers to the U.S. may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 90 days preceding travel.<br>

There are no inbound options to travel to the country. <br>                                                                                                                                                                                                                                              ",Some commercial air services in and out of Kabul have halted. Please check with your airline directly regarding commercial options for international travelers leaving Afghanistan.<br>,
Albania,"
All passengers who are allowed to enter the territory of the Republic of Albania, in addition to complying with the protocols of airline international standards worldwide, must also adhere to the rules listed below: <br>
•        only travelling passengers can enter the airport building <br>
•        passengers must maintain social distancing of 1.5 meters during their entire time in the airport<br>
•        priority is given to the elderly, people in need and families with minor children <br>
for more information, see the <a href="" https://www.tirana-airport.com/c/116/measures-and-rules/ "">Tirana International Airport website</a> <br>
*Demonstrating your COVID-19 status: Albania will accept the proof of COVID-19 recovery and vaccination record. 
*Quarantine and testing requirements if you’re travelling to neighbouring countries from Albania: If you are a foreign national travelling from Albania to Kosovo, you must provide a negative RT-PCR test that is less than 72 hours old or a serological antibody test less than 30 days old or a positive RT-PCR test between 21 and 180 days old, or evidence of a vaccination. British nationals transiting through Kosovo who leave within 3 hours of arrival are exempt, as are British nationals passing through Kosovo by organised transport (ie regular bus line), provided they leave within 5 hours. <br>
<br>If you are a foreign national travelling from Albania to North Macedonia you must provide a full vaccination certificate, or a negative PCR test taken within 72 hours before arrival or a certificate of recovery from Covid-19 in the last 45 days. Transit through North Macedonia within 5 hours will be possible by signing a statement at the border. <br>
<br>If you are a foreign national travelling from Albania to Montenegro you must provide at least one of the following: a negative PCR test taken within 72 hours of travel, a negative rapid antigen test recognized by the European Commission issued by an authorised laboratory and taken within 48 hours of the time of entering Montenegro, a positive PCR test or rapid antigen test issued by a registered laboratory, which is older than 14 days and not older than 90 days from the day of arrival at the Montenegrin border, demonstrating recovery from COVID-19 infection or proof of having received either one or two doses of a vaccine against COVID-19 (see ‘Demonstrating your COVID-19 vaccination status’). Children under the age of 5 do not require a test or proof of vaccination to enter Montenegro. <br>
<br>If you are a foreign national travelling from Albania to Greece you can enter it only by the following land borders: Kakavia and Qafë-Botë. Travellers must fill in a Passenger Locator Form (PLF) no later than 11:59pm (Greek local time) on the day before arriving in Greece. You must provide either: proof of a negative COVID-19 PCR test, undertaken within the 72 hour period before arrival into Greece; proof of a negative COVID-19 rapid antigen test from an authorized laboratory, undertaken within the 48 hour period before the scheduled flight; or proof of two COVID-19 vaccinations (i.e. complete vaccine) completed at least 14 days before travel. Travellers with proof of either are exempted from the need to self-isolate on arrival in Greece. Failure to provide proof of either will likely result in the Greek authorities refusing you permission to enter Greece. <br>





","Effective December 6, 2021, all airline passengers to the United States ages two years and older, regardless of vaccination status or citizenship, must provide a negative COVID-19 viral test taken within one calendar day of travel.  <br>Alternatively, travelers to the United States may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 90 days preceding travel.","Are U.S. citizens permitted to enter? Yes.
I. The government of Albania issued a statement on June 1, 2021, containing guidelines for foreign citizens entering Albania.  Visit the Albanian Ministry for Europe and Foreign Affairs (MEFA) website here.  Please pay close attention to the dates on which specific policies will take effect.
II. Commercial flights returned to Albania on June 15, 2020.
III. As of April 12, 2021, direct civilian air traffic to and from Great Britain has resumed.
IV. Lufthansa and Austrian Air continue with a reduced number of weekly flights to/from Tirana until further notice.
V. We recommend that you contact your airline regarding any boarding restrictions that may be in place, as air carriers have the final decision as to who they will and will not board.<br>
Is a negative COVID-19 test (PCR and/or serology) required for entry? Yes.
Effective September 6, 2021, all passengers who transit or apply to enter the Republic of Albania, ages six or older must meet one of the following three conditions:
I. Submit a vaccination passport where the date of full vaccination is no later than two weeks from the date of entry in Albania.
II. Have a negative PCR test within 72 hours or a rapid antigen test within 48 hours, or
III.  Alternatively, may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 6 months preceding travel.
IV.  Citizens residing in Albania who return and do not have one of the above documents must self-isolate themselves for 10 days and inform the health authority to perform a test at the end of the isolation period.<br>
Are health screening procedures in place at airports and other ports of entry? Yes.
I. Albania has increased the number of medical personnel at all ports of entries.
II. Enhanced screening and quarantine measures are being implemented. Travelers should be prepared for travel restrictions to be put into effect with little or no advance notice.<br>
**For information on entry/exit requirements, please visit our web page “Entering and Residing in Albania.”
Albania’s land borders are now open for travel, but some neighboring countries have travel restrictions in place impacting U.S. citizens. If you want to travel to a neighboring country, please visit the website of the U.S. embassy located in that country for more information on specific restrictions on U.S. citizens:
— COVID-19 update webpage of U.S. Embassy in Kosovo.
— COVID-19 update webpage of U.S. Embassy in Montenegro.
— COVID-19 update webpage of U.S. Embassy in North Macedonia.
— COVID-19 update webpage of U.S. Embassy in Greece.
— COVID-19 update webpage of U.S. Embassy in Italy.
***When exiting, only those passengers that have a ticket to travel will be permitted to enter the airport premises. Escorts will not be allowed to accompany them inside.  These passengers will not be permitted to enter without masks.  Non-compliance with this rule may result in a fine up to 3,000 ALL (~ $30.00).",
Algeria,"People are required to wear a protective mask when in public and those who do not comply may be subject to a fine.<br>
Land borders remain generally closed, with periodic exceptions.  The Algerian government announced the reopening of non-cargo international air travel on June 1, 2021.  Limited flights are available, and criteria for entry under the new regulations is available from the government of Algeria.  The government may impose additional restrictions should the epidemiological situation warrant.<br>
The Algerian government has lifted all curfews nationwide.","*** Effective January 5, 2022, the Algerian government is requiring all travelers over the age of 18 entering or exiting Algeria to present a “vaccination pass” that proves complete COVID-19 vaccination. <br>

*** Effective December 6, 2021, all air travelers aged two and above traveling to the United States will be required to provide proof of a negative COVID-19 viral test taken within one calendar day prior to departure, or documentation of recovery in the past 90 days.  This supersedes previous testing requirements, which differentiated between vaccinated and unvaccinated travelers. <br>

*** Effective November 8, 2021, all non-immigrant, non-U.S. citizen air travelers to the United States will be required to be fully vaccinated and to provide proof of vaccination status prior to boarding an airplane to the United States.<br>

Exemptions will be considered on an extremely limited basis.  Please contact your nearest embassy or consulate to apply for an exemption.<br>","Algeria closed all land borders and suspended non-cargo international air and maritime travel as of March 17, 2020. Limited domestic flights were resumed December 6, 2020, and the government launched a partial reopening for international passenger flights on June 1, with certain restrictions.<br>
Are U.S. citizens permitted to enter? Yes.  However, please be advised that at this time, entry into the country for U.S. citizens may require dual U.S.-Algerian citizenship, or special permission. Algeria does require a visa.  Please visit the Algerian Consulate in New York ( https://www.algeria-cgny.org/visa-application/ ) or the Algerian Embassy in Washington, D.C. ( https://www.algerianembassy.org/consular-affairs/visa/visa-instructions.html  )
Is a negative COVID-19 test (PCR) required for entry? Yes<br>
Are health screening procedures in place at airports and other ports of entry? Yes, the Algerian authorities require an antigen test for Covid upon arrival.<br>",
Andorra,"Effective February 1, 2022, U.S. citizens can travel from the United States to Spain on non-essential travel (such as tourism) if they show proof that they are fully vaccinated and have received the last required dose of their COVID-19 vaccine no less than 14 days, and no more than 270 days (9 months), prior to arrival in Spain. If more than 270 days (9 months) have passed since receiving the last required dose of their COVID-19 vaccine, U.S. citizens must show proof of having received a booster shot at least 14 days prior to arrival in Spain.  Please read the detailed information on the Spain Ministry of Health’s website.  Additionally, U.S. citizens traveling from the United States to Spain must present upon arrival in Spain a QR code generated through the Spain Travel Health portal, obtained through the website or by downloading the “SpTH app” in Google Play Store or iTunes App Store for each traveler, regardless of their age.  This applies to U.S. citizens travelling to Spain from the United States, including if they transit through a third country.","*** Effective December 6, 2021 (12:01am EST), all air passengers 2 years or older with a flight departing to the United States from a foreign country are required show a negative COVID-19 viral test result taken no more than 1 day before travel, or documentation of having recovered from COVID-19 in the past 90 days, before they board their flight.<br>

Air passengers will also be required to confirm in the form of an attestation that the information they present is true.<br>

If you recently recovered from COVID-19, you may travel with documentation of recovery from COVID-19 (i.e., your positive COVID-19 viral test result on a sample taken no more than 90 days before the flight’s departure from a foreign country and a letter from a licensed healthcare provider or a public health official stating that you were cleared to travel). Please see the CDC website for details about the testing requirement to travel by air to the United States.<br>

In addition, all non-immigrant, non-U.S. citizen air travelers to the United States will be required to be fully vaccinated and to provide proof of vaccination status prior to boarding an airplane to the United States.  Exemptions to the vaccination requirement will be considered on an extremely limited basis.  Please contact your nearest embassy or consulate to apply for an exemption for the vaccination requirement.  Please visit the CDC webpage for more information about exemptions.<br>","Effective February 1, 2022, U.S. citizens can travel from the United States to Spain on non-essential travel (such as tourism) if they show proof that they are fully vaccinated and have received the last required dose of their COVID-19 vaccine no less than 14 days, and no more than 270 days (9 months), prior to arrival in Spain.  If more than 270 days (9 months) have passed since receiving the last required dose of their COVID-19 vaccine, U.S. citizens must show proof of having received a booster shot at least 14 days prior to arrival in Spain.  Please read the detailed information on the Spain Ministry of Health’s website. U.S. citizens entering Spain on essential travel (such as residents, students or workers) must show either proof of vaccination as shown above, a negative COVID test, or a certificate of recovery.<br>
Additionally, all travelers from the United States to Spain must present a QR code generated through the Spain Travel Health portal, obtained through the website or by downloading the SpTH app in Google Play or App Store for each traveler.<br>
U.S. citizens who are traveling to Spain from a country that is not the United States should make sure they follow the guidance published by Spanish authorities on their local Spain Embassy website.<br>
Click <a href=""https://visitandorra.com/en/covid-19-in-andorra/"">here</a> for information for travel within the European Schengen zone.<br>
Click here for information for travel to Andorra.<br>",
Angola,"The majority of COVID-19 cases are in the capital city of Luanda, but COVID-19 has been confirmed throughout all provinces.  Officials continue to monitor the individuals who have tested positive.  Please visit the Angolan COVID-19 Commission’s website for the most up-to-date case numbers.<br>
The use of a face mask (covering both nose and mouth) is required in all public areas, including anytime you leave your house or hotel room, while using public transportation (including moto-taxis), and in all establishments.  Face masks are not required if you are operating a vehicle alone or exercising outside.<br>
Establishments may deny entry/service to individuals without a face mask.<br>
Within Luanda, health centers and hospitals are fully operational.<br>
Individual and group exercise is permitted outdoors between the hours of 5-7 a.m. and 5-7 p.m.  Groups exercising together are limited to no more than five people.  Everyone is encouraged to adhere to social distancing; face masks are not required.<br>
Gyms may operate at up to 50% capacity.<br>
Restaurants may open from 6 a.m. to 10 p.m.  In-person dining is limited to 75% capacity with no more than four guests per table.<br>
Businesses, including supermarkets and retail stores, can open from 7 a.m. to 10 p.m., at up to 50% capacity.<br>
Museums and monuments, libraries, media centers, and cultural and art fairs must close by 6 p.m. and operate at up to 50% capacity.<br>
Theaters, movie theaters, casinos, and game rooms may open until 10 p.m. at up to 50% capacity.<br>
Night clubs and event spaces are temporarily closed.<br>
Gatherings in private residences are permitted up to 15 people.<br>
Public consumption of alcohol, is prohibited.","Effective December 6, 2021, all airline passengers to the United States ages two years and older, regardless of vaccination status or citizenship, must provide a negative COVID-19 viral test taken within one calendar day of travel.  Alternatively, travelers to the United States may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 90 days preceding travel.","Are U.S. citizens permitted to enter?  Yes<br>
Is a negative COVID-19 test (PCR and/or serology) required for entry?  Yes<br>
Anyone arriving in Angola must present proof of a negative RT-PCR COVID-19 test; passengers may take the test up to 72 hours prior to travel.<br>
Passengers are also required to complete an online Travel Registration Form.<br>
Are health screening procedures in place at airports and other ports of entry?  Yes<br>
As of January 16, 2021, all passengers arriving internationally to the Aeroporto Internacional Quatro de Fevereiro, regardless of citizenship or vaccination status, are required to take a rapid COVID-19 antigen test at the airport before being allowed to enter Angola.  This test costs 11,278.18 kwanzas (20 USD) and is charged to passengers upon arrival.  Forms of payment that may be accepted include: Angolan bank card (multicaixa), international credit card, kwanzas, U.S. dollars, or euros.  Travelers who do not have an Angolan bank card are encouraged to arrive with sufficient cash in case they are required to pay this fee.  Anyone testing positive may be subject to institutional quarantine after undergoing a medical evaluation.<br>
Authorities advise that the requirement to conduct COVID-19 testing at the airport will extend time spent to pass through customs.  Passengers are encouraged to be prepared for lengthy delays, possibly outside.<br>
International travelers arriving in Luanda with a tourist visa are advised that immigration authorities may hold their passport from their arrival in Angola until the traveler presents a second negative COVID-19 result following seven days of quarantine.<br>
The Government of Angola requires all travelers boarding a domestic flight within Angola to present a negative COVID-19 result from a test taken up to 72 hours prior.  Passengers on international flights departing from Angola must present a negative COVID-19 result from a test taken up to 48 hours prior.<br>
Land borders remain closed for all but commercial transport.<br>",
Anguilla,"Anguilla has reported 2,497 confirmed cases of COVID-19 within its borders.<br>
The use of masks is required on vessels to Anguilla and in other spaces where persons cannot maintain a physical distance of at least 1 meter/3 feet from others.",Anguilla is currently under a Level 4 Travel Advisory: Do Not Travel due to COVID-19,"Are U.S. citizens permitted to enter? Yes
Permission from the Government of Anguilla is required prior to traveling.<br>
Visitors can apply for entry into Anguilla at https://escape.ivisitanguilla.com/apply/. An electronic travel authorization will be issued to your email address if your application was successful.<br>
Starting on July 1st, Anguilla will only allow visitors who are fully vaccinated at least three weeks before arrival. Please visit https://escape.ivisitanguilla.com for more details on entry protocols.<br>
Is a negative COVID-19 test (PCR and/or serology) required for entry? Yes<br>
For entry approval, accepted COVID-19 test types include Reverse Transcription Polymerase Chain Reaction (rt-PCR), Nucleic Acid Amplification (NAA), RNA or molecular, or Antigen via a nasopharyngeal swab.<br>
All persons traveling to Anguilla are required to provide a negative COVID-19 PCR test conducted within 3-5 days prior to arrival date.<br>
Tests must be done at a certified testing center and an official laboratory report must be presented. Home testing kits, antibody tests, and self-taken swabs will not be accepted.<br>
Pregnant women and children 17 years old and under may be subjected to RT-PCR testing 4 days after arrival.<br>
Are health screening procedures in place at airports and other ports of entry? Yes
Persons will be tested on arrival and must quarantine until the receipt of their Port of Entry negative RT-PCR result (usually 24 hours).
Upon arrival travelers will be issued a yellow wristband. Only a health representative from the Ministry of Health is authorized to remove the wristband.",
Antigua and Barbuda,"Antigua & Barbuda has recorded 7,342 confirmed cases of COVID-19 within its borders.<br>
Wearing a face mask is mandatory in all public places.<br>
Beaches are open daily between 5am and 7pm for therapeutic use only.<br>",Antigua & Barbuda is currently under a Level 4 Travel Advisory: Do Not Travel to Antigua and Barbuda due to COVID-19.,"S. citizens are urged to check current entry and exit requirements on the Antigua and Barbuda COVID-19 webpage at https://covid19.gov.ag/pdf-post/travel-advisory/ for the latest guidance.<br>
Is a negative COVID-19 test (PCR and/or serology) required for entry? Yes<br>
All arriving passengers by air must have a negative COVID-19 RT-PCR (real-time polymerase chain reaction) test for SARS-CoV-2 using a nasopharyngeal or oropharyngeal swab taken within four days of their flight. (This includes transiting passengers).  Children below the age of 5 years do not require a COVID-19 RT-PCR test. Fully vaccinated arriving passengers can present a RT-PCR negative test result of four (4) days or fewer from date of testing, OR an approved Rapid Antigen negative test result of three (3) or fewer days from date of testing. The list of approved Rapid Antigen tests is provided here: https://covid19.gov.ag/pdf-post/travel-advisory/<br>
Effective December 15, 2021, ALL arriving passengers including returning nationals and residents are required to present verifiable documentation of full vaccination using World Health Organization (WHO) or Ministry of Health Wellness and the Environment (MOHWE) approved 2-dose COVID-19 vaccine or a single dose vaccine to be permitted entry into Antigua and Barbuda. Children below eighteen (18) years arriving at a port of entry are exempt from this requirement.<br>
Unvaccinated minors between ages five and eighteen years old must present a negative RT-PCR test of four days or fewer from date of testing.
Passengers who arrive without COVID 19 test results or with incorrect COVID test results will be charged the cost of administering of the required RT PCR test assay. The fee is US$50.00 for nationals and US$100.00 for non-nationals. Passengers who knowingly present false declarations of COVID-19 negative tests or vaccination on arrival will be fined according to the laws of Antigua and Barbuda.<br>
Restrictions on entry to Antigua and Barbuda are imposed on persons who have traveled to South Africa, Botswana, Belgium and Hong Kong within the last fourteen (14) days.<br>
Are health screening procedures in place at airports and other ports of entry? Yes<br>
All arriving passengers must complete a Health Declaration Form and will be subjected to screening and temperature checks by Port Health authorities upon arrival.<br>
Visitors may be required to undergo testing for COVID-19 on arrival or at the hotel or place of lodging as determined by Health Authorities.<br>
Arriving passengers with symptoms of COVID-19 may be isolated as determined by the Health Authorities.<br>
Please note there have been recent incidents where passengers that have tested positive for COVID-19 have NOT been allowed to travel.<br>
If you test positive for COVID-19 upon arrival or when departing Antigua you will be required to isolate.  For more information on Antigua’s health protocols for travelers who test positive for COVID-19 please visit the following link:  https://visitantiguabarbuda.com/travel-advisory/<br>",
Argentina,"Latest News:  
  <br>
  <br>
International Restrictions: <br>
*Entry rules in response to coronavirus (COVID-19). As of 31 December, Argentina’s borders are open to all travellers who meet the following requirements: <br>
•        Must have received a complete course of a vaccine at least 14 days prior to arrival into Argentina<br>
•        Must be able to prove full vaccination status via the App Mi Argentina, or via a document from a national or state-level public health body if vaccinated abroad<br>
•        Must fill in an <a href=""https://ddjj.migraciones.gob.ar/app/home.php"">electronic ‘sworn statement’ form</a> within 48 hours of travelling<br>
•        Must present a negative COVID-19 PCR test taken within 72 hours of boarding your flight (children under 6 are exempted), unless you are: a crew member, transiting the country through an international airport for less than 24 hours; or have had coronavirus confirmed by a lab test within 90 days of your trip. If you have had COVID-19 confirmed by a lab test within 90 days of your trip you don’t need to take a PCR test again. Instead, you will need to show evidence of your diagnosis and a medical certificate issued at least 10 days after being diagnosed, confirming that you have a clean bill of health<br>
•        Must take a COVID-19 test between the 3rd and 5th day after arrival and avoid large gatherings and social gatherings in closed spaces for the first 5 days post arrival This rule also applies for fully vaccinated children aged 6 and older.<br>
•        Children who do not qualify as fully vaccinated can enter Argentina and no longer need to self-isolate but should avoid large gatherings for the first 7 days<br>
•        If you are travelling from or have been in Africa in the 14 days prior to arrival in Argentina, in addition to the above requirements you must take an antigen test on arrival and self-isolate for 10 days from the date you took your PCR test abroad. On day 10, you must take a further PCR test to end your quarantine<br>
All travellers must be prepared to show proof of having complied with all entry requirements when required by the authorities during the first 14 days after arrival in country.<br>
*Non-fully vaccinated Argentine nationals and residents of Argentina<br>
•        Must present a negative COVID-19 PCR test taken within 72 hours of arrival in Argentina<br>
•        Must fill in an <a href=""https://ddjj.migraciones.gob.ar/app/home.php"">electronic ‘sworn statement’ form</a> within 48 hours of travelling<br>
•        Must take a COVID-19 test on arrival<br>
•        Must self-isolate for 7 days. The local authority will determine whether they must isolate at home or at a designated quarantine hotel.<br>
•        Must take a COVID-19 PCR test on the 7th day after arrival to end quarantine<br>
•        Children do not have to to self-isolate but should avoid large gatherings for the first 7 days<br>
*Exemptions: Exemptions for non-fully vaccinated non-resident foreign nationals may be granted to:<br>
•        Family members of Argentine nationals or residents of Argentina. This applies to children, parents, spouses and common-law partners<br>
•        Those travelling for work, business, studies or sportspersons travelling for specific sports events<br>
•        Diplomats or officials on official business<br>
•        Those being granted permanent or temporary settlement visas<br>
If you believe you might fall into any of the above categories, you must contact the nearest Argentine Consulate to where you live to seek approval for your trip. Non-resident foreign nationals who are not fully vaccinated cannot enter Argentina for tourism purposes.<br>
 <br>
<br>
Internal Restrictions: <br>
*Travel in Argentina: Free movement is allowed within each jurisdiction as long as social distancing rules are adhered to. Night-time curfews may be introduced in <a href=""https://www.argentina.gob.ar/coronavirus/informes-diarios/partidos-de-alto-riesgo"">jurisdictions deemed high risk</a>   by the authorities. The use of public transport within jurisdictions may be restricted to essential workers and those in need of medical treatment. The decision lies with each jurisdiction. In the City of Buenos Aires the use of public transport is no longer restricted. You should make sure you understand and comply with the measures in place in the province/jurisdiction you are in. <br>
Movement between jurisdictions is permitted, provided you meet the requirements of the specific jurisdiction/province you plan to visit. Requirements might include taking a COVID-19 PCR test and applying for a permit to circulate <a href=""https://www.argentina.gob.ar/circular/tramite"">(Certificado Único de Circulación)</a> or a permit for tourism purposes <a href=""https://www.argentina.gob.ar/circular/turismo"">(Certificado Turismo)</a>. <br>
You should check what measures apply in your location and any other location you might qualify to travel to or transit through on the <a href=""https://www.argentina.gob.ar/salud/coronavirus-COVID-19"">Ministry of Health website</a> (in Spanish). You could be subject to a financial penalty if you do not abide by local regulations. <br>
*Public spaces and services: In Argentina, measures to control the spread of COVID-19 are ongoing. The entire country is in a phase of mandatory social distancing. Additional restrictions may vary between jurisdictions. In all parts of Argentina you must cover your nose and mouth with a face mask or other garment in shared spaces, both indoors and outdoors. You may only remove your face mask outside as long as you keep a 2-meter distance between yourself and other people. Each jurisdiction/province might have different approaches to this rule. Make sure to check what rules apply in your jurisdiction.

","Self-isolation at own accommodation- subject to testing.

 As of 31 December, Argentina’s borders are open to all travellers who meet the following requirements: <br>
•  Must take a COVID-19 test between the 3rd and 5th day after arrival and avoid large gatherings and social gatherings in closed spaces for the first 5 days post arrival This rule also applies for fully vaccinated children aged 6 and older.<br>
Children who do not qualify as fully vaccinated can enter Argentina and no longer need to self-isolate but should avoid large gatherings for the first 7 days<br>
•    If you are travelling from or have been in Africa in the 14 days prior to arrival in Argentina, in addition to the above requirements you must take an antigen test on arrival and self-isolate for 10 days from the date you took your PCR test abroad. On day 10, you must take a further PCR test to end your quarantine<br>
*Non-fully vaccinated Argentine nationals and residents of Argentina: <br>
•        Must self-isolate for 7 days. The local authority will determine whether they must isolate at home or at a designated quarantine hotel.<br>
•        Must take a COVID-19 PCR test on the 7th day after arrival to end quarantine<br>
•        Children do not have to to self-isolate but should avoid large gatherings for the first 7 days<br>","Foreigners who are not residents in Argentina:<br>
Fully vaccinated:<br>
Have completed the vaccination schedule at least 14 days before arrival in Argentina.<br>
A negative COVID-19 PCR test administered no more than 72 hours prior to departure or a negative antigen test administered no more than 48 hours prior to departure.<br>
International travelers to Argentina who tested positive for COVID-19 within the past 90 days may travel with confirmed lab results from their diagnosis and documentation from their medical care provider as long as the end of medical care was documented at least ten days after the positive lab test.<br>
Electronic sworn statement within 48 hours before departure.<br>
Evidence of medical travel insurance that includes hospitalization, quarantine, and transportation coverage of COVID-19.<br>
Those fully vaccinated and with a negative COVID-19 test are exempted from quarantine.<br>
With incomplete vaccination schedule or not vaccinated:
Apply for a vaccination exception before your trip to Argentina at the nearest Argentine Consulate.  Evidence of the exception must be submitted.<br>
A negative COVID-19 PCR test administered no more than 72 hours prior to departure or a negative antigen test administered no more than 48 hours prior to departure.<br>
International travelers to Argentina who tested positive for COVID-19 within the past 90 days may travel with confirmed lab results from their diagnosis and documentation from their medical care provider as long as the end of medical care was documented at least ten days after the positive lab test.<br>
Electronic sworn statement within 48 hours before departure.<br>
Evidence of medical travel insurance that includes hospitalization, quarantine, and transportation coverage of COVID-19.<br>
Quarantine at a location determined by local health authorities for a period of 7 days (considering the day after the test was taken as day number 1). <br>
Individuals entering the country must carry all documentation that accounts for travel requirements, during the 14 days after their arrival.<br>
For cruise ships:  Only a negative COVID-19 PCR test (not antigen) administered no more than 72 hours prior to the departure of the cruise ship will be accepted.<br>
All passengers transiting Argentina must comply with the same requirements as those passengers entering and remaining in Argentina.<br>
Multiple countries in the region have implemented travel restrictions with little advance notice.  To stay informed of the latest travel restrictions, visit the U.S. Embassy COVID-19 webpage for the country of your intended destination or stopover.<br>",
Armenia,"As of February 14, 2022, Armenia has 407,074 confirmed cases of Covid-19 within its borders with 375,612 confirmed recoveries and 8,186 confirmed deaths.","Effective December 6, 2021, all airline passengers to the United States ages two years and older, regardless of vaccination status or citizenship, must provide a negative COVID-19 viral test taken within one calendar day of travel. Alternatively, travelers to the United States may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 90 days preceding travel.","Are U.S. citizens permitted to enter? Yes.<br>
Restrictions on entry of non-Armenian citizens to the Republic of Armenia have been lifted and U.S. citizens are permitted to enter via air or land border.<br>
Individuals entering Armenia via the airport or land border are required to provide documentation of vaccination against COVID-19 at least 14 days prior to arrival or a negative COVID-19 test taken within 72 hours of arrival or submit to testing upon arrival and self-isolate until test results are received. Children under 6 years of age are exempt from presenting a PCR test or a vaccination certificate.<br>
Is a negative COVID-19 test (PCR and/or serology) required for entry? Yes, or evidence of vaccination as described above.<br>
Are health screening procedures in place at airports and other ports of entry? Yes, your vaccination card and/or COVID test will be checked as you exit the airport.<br>",
Aruba,"Most services are available in Aruba. There are, however, requirements to wear masks especially in indoor settings.","*** Effective December 6, 2021, all airline passengers to the United States ages two years and older, regardless of vaccination status or citizenship, must provide a negative COVID-19 viral test taken within one calendar day of travel.  Alternatively, travelers to the United States may provide documentation from a licensed health care provider of having recovered from COVID-19 in the 90 days preceding travel.  Check the CDC website for additional information and frequently asked questions.<br>

All non-immigrant, non-U.S. citizen air travelers to the United States are required to be fully vaccinated and need to provide proof of vaccination status prior to boarding an airplane to the United States.<br>

Exceptions will be considered on an extremely limited basis. Please contact us at ACSCuracao@state.gov  if you are in a true emergency situation and need an exception.<br>","COVID-19 negative certification required for entering the country. 

All travellers over the age of 12 must present a negative COVID-19 PCR test result when entering Aruba. The test must have been carried out no more than 24 hours before departure. A health screening and temperature check will be carried out on arrival. Further information on testing and screening is available on the <a href=""https://edcardaruba.aw/"">website of the Government of Aruba</a> .",
